"","chlorides","sulphates","nitrates","phosphates","ammonium","calcium","LCBDall","LCBDrepl","LCBDnest","Beta.sorensenall","Beta.sorensen.turn","Beta.sorensen.nest","TaxaS","Dominance_D","Simpson_1.D","Shannon_H"
"O41 WS1",0.118894981,-0.469285528,-0.880878544,0.05818373,0.903130869,-0.849258144,1.75213796,1.838723532,-0.352268054,1.718315718,1.782114722,-0.081902994,0.052064657,-0.655739789,-0.655727949,-0.365440333
"K11 WS1",1.255871612,0.103116769,-0.243130312,-1.113802826,0.858224325,-0.706348049,1.101415139,1.302487513,-0.489618389,0.904722631,1.02142322,-0.152697434,-0.371461303,-0.908211246,-0.908199312,-0.696395662
"K21 WS1",1.257964194,0.114028044,-0.243817911,-0.769100898,1.120381439,-0.683375396,1.361002689,1.751968573,-0.865621722,0.701324359,1.02142322,-0.421126305,-1.077337902,-0.656310991,-0.656299151,-0.896078207
"K31 WS1",1.252328725,0.110770517,-0.27819787,-0.838041283,1.132518342,-0.671846994,0.643802178,0.832897298,-0.417067187,0.433170722,0.625863634,-0.253495213,0.616765936,-0.965902688,-0.965890732,-0.507806592
"K41 WS1",1.239441734,0.075615168,-0.499604803,-0.493339355,1.219904047,-0.677619611,1.288341674,1.708101722,-0.910237869,0.839635187,1.416982798,-0.760113636,-1.077337902,-0.935057758,-0.935045815,-1.082818364
"BW11 WB1",1.606285916,0.946729824,-0.488603217,-0.493339355,-0.401586247,0.201837489,-0.634365528,-0.079315836,-0.944851818,-0.249562555,0.56405745,-1.073025022,-0.371461303,-0.652312574,-0.652300736,-0.579914177
"BW21 WB1",1.605436452,0.948185621,-0.486540418,0.816527971,-0.363961846,0.203158627,0.460382875,0.884115782,-0.825866866,0.691002657,1.34281538,-0.85848224,-0.230285983,-0.143942446,-0.143930796,0.100485605
"BW31 WB1",1.606306635,0.946571271,-0.488259417,0.540766429,-0.34211542,0.180573059,-0.237722984,0.190831689,-0.75742013,-0.659475681,-0.007031698,-0.861052793,0.052064657,-0.523792036,-0.523780245,-0.306275134
"BW41 WB1",1.607839814,0.949828798,-0.49341641,-0.148637427,-0.468339216,0.189088929,0.302926527,0.129988807,0.282737256,0.470806325,0.446063828,0.033227338,1.887343815,0.829957632,0.82996892,1.243113501
"O11 WB1",0.122686491,-0.497752856,-0.358646973,0.196064501,0.702871962,-0.789554491,0.160346323,0.544778526,-0.720787323,0.077791955,0.68042358,-0.794429526,-0.089110663,-1.025878939,-1.025866961,-0.637230463
"O21 WB1",0.137893971,-0.479649077,-0.495135408,-0.56227974,0.397021996,-0.796757638,-0.104005278,0.379501652,-0.872715081,-0.052159983,0.56405745,-0.812508788,-0.653811942,-0.667163837,-0.667151992,-0.315519697
"O31 WB1",0.118874262,-0.468118007,-0.321860417,-0.906981668,0.818172544,-0.824863374,0.296091864,0.34928824,-0.130055016,0.470806325,0.446063828,0.033227338,1.887343815,-0.714002433,-0.713990571,0.242851864
"O41 WB1",0.139323557,-0.476333894,-0.414686306,-0.56227974,0.739282672,-0.827185885,1.113740533,0.794047517,0.461380982,1.946121778,1.143133856,1.06119107,2.875571054,-0.590051514,-0.590039698,0.538677857
"K11 WB1",1.276300188,0.110165135,-0.70932255,-0.493339355,0.69437613,-0.728420308,0.862590957,1.339511054,-0.967649769,0.411317797,1.100535133,-0.90815774,0.475590616,-0.973899521,-0.973887563,-0.838761921
"K21 WB1",1.278392771,0.12107641,-0.710010149,-0.838041283,0.956533243,-0.705447655,0.782852842,1.052443965,-0.579666182,0.783373156,1.285129611,-0.660524147,1.181467216,-0.590622716,-0.5906109,0.008039983
"K31 WB1",1.2727573,0.117818882,-0.744390108,-0.769100898,0.968670147,-0.693919255,0.956552885,1.426865395,-0.965965463,0.839635187,1.416982798,-0.760113636,-0.512636622,-1.031590963,-1.031578983,-1.027350991
"K41 WB1",1.259870309,0.082663534,-0.965797042,-1.113802826,1.056055851,-0.69969187,0.486141599,0.716931025,-0.475867265,0.602530913,0.823643427,-0.290746573,1.181467216,-0.869369483,-0.869357564,-0.178700175
"WS1 WB1",-1.235150808,-1.355015813,-0.87537775,-0.493339355,-0.917404642,-1.323420429,0.37882337,0.554568685,-0.363326164,0.088059384,-0.165255531,0.334092194,1.463817855,-1.040158998,-1.040147016,-0.315519697
"BW11 WP1",1.693324909,0.939220214,-0.803523637,0.402885658,-0.955029042,0.195778768,-0.645556388,-0.163879144,-0.809431429,-1.109888814,-0.382175301,-0.96087041,-0.371461303,-0.486663881,-0.486652104,-0.879437995
"BW21 WP1",1.692475445,0.940676011,-0.80146084,1.712752984,-0.917404642,0.197099906,-0.429107641,-0.044968366,-0.655012301,-1.121863773,-0.650135022,-0.623386972,-0.512636622,0.021706248,0.021717836,-0.199038212
"BW31 WP1",1.693345627,0.939061662,-0.803179838,1.436991442,-0.895558215,0.174514338,-0.830167998,-0.462913991,-0.57974453,-1.010555515,-0.283923404,-0.959316784,-0.794987262,-0.358143343,-0.358131613,-0.605798952
"BW41 WP1",1.694878807,0.942319189,-0.808336831,0.747587586,-1.02178201,0.183030208,0.235774909,-0.028378903,0.456983299,-0.225097199,-0.309095377,0.110456281,-0.089110663,0.995606326,0.995617552,0.943589684
"O11 WP1",0.209725485,-0.490243246,-0.043726553,-0.700160512,1.256314756,-0.78349577,-0.750420082,-0.423983302,-0.513925248,-1.096716351,-0.465335217,-0.833845638,-0.653811942,-0.860230245,-0.860218329,-0.936754281
"O21 WP1",0.224932964,-0.472139467,-0.180214988,-0.769100898,0.950464792,-0.790698917,-0.679774558,-0.245159451,-0.719578112,-1.624812229,-1.186054458,-0.580564293,-0.089110663,-0.501515143,-0.50150336,-0.615043514
"O31 WP1",0.205913255,-0.460608398,-0.006939997,-0.42439897,1.371615339,-0.818804653,-0.05036175,-0.099661424,0.095732004,-0.225097199,-0.309095377,0.110456281,-0.089110663,-0.548353739,-0.548341939,-0.056671953
"O41 WP1",0.22636255,-0.468824284,-0.099765885,0.333945273,1.292725467,-0.821127163,1.622992452,1.348740788,0.321916132,1.141404255,-0.134827868,1.684096247,0.899116576,-0.42440282,-0.424391066,0.239154039
"K11 WP1",1.363339181,0.102655527,-1.024242971,-0.838041283,1.247818924,-0.73447903,-0.202508851,0.271116017,-0.84374086,-0.466381776,0.269860007,-0.971286081,-1.218513222,-1.072146332,-1.072134338,-1.138285738
"K21 WP1",1.365431763,0.1135668,-1.02493057,-0.493339355,1.509976038,-0.711506377,0.154118963,0.35084995,-0.376834528,-0.705630578,-0.253157664,-0.597463664,-0.794987262,-0.424974022,-0.424962268,-0.291483835
"K31 WP1",1.359796294,0.110309274,-1.059310528,-0.56227974,1.522112941,-0.699977976,-0.560814747,-0.073034286,-0.829971848,-0.904487755,-0.363035325,-0.715033191,-0.230285983,-1.014454891,-1.014442918,-1.112400964
