"","sulphates","nitrates","phosphates","ammonium","calcium","LCBDall","LCBDrepl","LCBDnest","Beta.sorensen","Beta.sorensen.turn","Beta.sorensen.nest","Taxa","Dominance","Simpson","Shannon","Evenness","Brillouin","Menhinick","Margalef","Equitability","Fisher_alpha","Chao.1","SFI_1","SFI_2","SFI_3","SFI_4","pora_roku_1","pora_roku_2","pora_roku_3","pora.roku","SFI"
"bw32",-1.284801019,-0.175945922,2.215009465,-0.688442399,-0.471810324,-0.542684865,-0.664268795,0.12015448,-0.820680591,-0.474986326,-0.562476031,0.882380214,-0.456490713,0.456498916,0.687931511,0.213617413,0.663711212,0.902371866,0.888868724,0.506954516,0.893511106,0.527083194,1,0,0,1,0,0,0,1,1
"bw42",-1.289675447,-0.211692127,0.651473372,-0.63831911,-0.486968594,0.545755156,0.582747688,0.128546957,0.550768083,1.410950558,-0.945278251,0.409148367,0.543344017,-0.543341417,-0.500967354,-1.114035983,-0.520651449,0.285280938,0.36865053,-0.690191753,0.298336812,0.607626938,0,0,1,1,0,0,0,1,3
"k12",-0.699435244,0.532003312,-0.456031361,1.395753884,0.819553581,-0.881053793,-1.049042452,0.109086287,-0.189856201,0.313776419,-0.643225561,0.172532444,0.161293348,-0.161288607,-0.146121667,-0.609787169,-0.165864397,0.263920098,0.201868435,-0.221915753,0.164476572,-0.028390898,1,0,0,1,0,0,0,1,1
"k22",-0.718788173,0.68312548,-0.390884023,1.0577131,0.774249168,-1.033392056,-0.947259066,-0.700116355,-0.36222656,0.525177977,-1.138221707,-0.655623288,0.455011734,-0.455008639,-0.500967354,-0.538863665,-0.492825014,-0.64984916,-0.654043083,-0.361472584,-0.695899327,-0.840308863,1,0,0,1,0,0,0,1,1
"k32",-0.717907398,0.873481288,0,1.79324322,0.853995158,-0.518287674,-0.828907332,0.683532075,0.52424957,1.582185832,-1.189428202,-0.655623288,1.472729687,-1.472732295,-1.371499995,-1.427137306,-1.388488407,-0.640355454,-0.650494528,-1.44221126,-0.690861576,-0.086715678,0,0,1,1,0,0,0,1,3
"k42",-0.705142186,0.948461132,-0.130294674,1.654529933,0.876665114,-0.848011857,-0.720963852,-0.739354178,0.351879211,1.370784261,-1.17235937,-0.655623288,0.448508744,-0.448505613,-0.495992882,-0.534539061,-0.489346709,-0.654596014,-0.655462505,-0.356842736,-0.697338684,-0.688479278,0,0,1,1,0,0,0,1,3
"o12",1.039613646,0.986241674,-0.260589349,0.085554431,1.856102352,-0.70883707,-0.655026126,-0.464820117,2.34275683,2.570894706,0.134194104,-1.602086981,2.595579313,-2.595588214,-2.393422409,-1.690938143,-2.39737061,-1.607289469,-1.603636458,-2.513028834,-1.527847917,-1.486510391,0,0,1,1,0,0,0,1,3
"o22",1.114009008,2.22689655,0.456031361,0.161322193,2.040656952,-0.367684266,-0.027806526,-1.153385583,1.290755688,1.15938269,0.385273669,-2.193626789,1.838522881,-1.838527539,-1.957161193,-0.831206888,-1.928669087,-2.207766411,-2.198374312,-1.585075124,-1.986643095,-2.123454017,1,0,0,1,0,0,0,1,1
"o32",1.046478868,1.021116021,-0.390884023,0.064572589,1.85363869,-1.497188618,-1.372304416,-1.014610012,0.694235359,0.745794492,0.059199178,-1.720394943,2.550058382,-2.550067028,-2.410667246,-1.638177976,-2.409718591,-1.731419683,-1.724287335,-2.502446326,-1.625004543,-1.521690417,0,1,0,1,0,0,0,1,2
"o42",1.03712817,0.944973698,0.195442012,0.084388773,1.825665114,-0.895356569,-0.874181528,-0.450286948,2.096161285,2.68852071,-0.350129887,-2.075318828,2.487196144,-2.487204438,-2.477325174,-1.44270588,-2.463806225,-2.071057036,-2.07417488,-2.474005834,-1.894164381,-1.683703694,0,0,1,1,0,0,0,1,3
"ws2",0.551302086,1.760452166,-0.390884023,-0.61617161,1.648501503,0.2767716,-0.047720987,1.068961163,0.029524255,-0.880797889,1.10768181,-0.537315326,0.831101329,-0.831100342,-0.85581304,-1.025814064,-0.859786132,-0.528804401,-0.534811628,-0.842315312,-0.58254993,-0.549610755,0,1,0,1,0,0,0,1,2
"wb2",0.486933086,2.122273511,-0.586326035,-0.492611875,1.608820205,0.27535001,-0.130777629,1.30706901,0.345219186,-1.037017433,1.734542298,0.527456329,1.548597905,-1.548600938,-1.194077152,-1.690073223,-1.245877925,0.43243339,0.496398518,-1.497769429,0.43939384,0.642806964,0,0,0,1,0,0,0,1,4
"wp2",0.477461734,-0.032670482,-0.325736686,-0.53923819,1.193512006,1.651909729,0.971428411,2.706447715,1.057372151,0.562484143,0.784640365,0.764072252,-0.68626303,0.686272521,0.835507521,0.573424458,0.825452369,0.755219414,0.761830448,0.70537655,0.745257292,0.267861951,1,0,0,1,0,0,0,1,1
"wk2",0.482565405,0.619189178,-0.586326035,-0.487949244,1.617219377,0.32414332,-0.324782957,2.038246875,0.257573239,-0.782869224,1.305231589,-1.602086981,1.467852444,-1.467855025,-1.572137042,-1.037058034,-1.558925325,-1.594947651,-1.600087903,-1.356889785,-1.523529845,-1.630007865,0,0,1,1,0,0,0,1,3
"bw13",-1.260609858,-1.221013837,-0.977210058,-0.876113317,-1.390884278,0.080763107,0.18007049,-0.255372187,-0.580327817,-0.202043414,-0.559832123,-0.419007364,-0.6954756,0.695485142,0.513824983,0.995505798,0.550666318,-0.452854749,-0.429774393,0.778131296,-0.488991698,-0.503321247,1,0,0,0,1,0,0,2,1
"bw23",-1.262745437,-1.221013837,-0.977210058,-0.876113317,-1.396258897,0.699942354,0.350715156,1.324844633,-0.248553945,0.049524455,-0.404559923,-0.537315326,1.139451444,-1.139452184,-1.117801911,-1.272316486,-1.131093879,-0.535924681,-0.536940761,-1.163097599,-0.586148323,-0.503321247,1,0,0,0,1,0,0,2,1
"bw33",-1.266256473,-1.221013837,1.302946744,-0.749056608,-1.383131196,-0.022375159,-0.046562937,0.061026736,-1.083607684,-1.039922594,-0.242776845,0.527456329,-0.360029693,0.360037356,0.308213464,-0.185111066,0.298489246,0.515503323,0.523367537,0.188817856,0.485093438,0.221572444,1,0,0,0,1,0,0,2,1
"bw43",-1.270153603,-1.221013837,0,-0.876113317,-1.377997974,0.593535933,0.815121758,-0.390532102,-1.143584626,-0.847547171,-0.558914759,0.290840406,0.114688585,-0.114683583,-0.235662168,-0.781906404,-0.249343703,0.285280938,0.289162893,-0.36014977,0.237164122,1.04274831,0,0,1,0,1,0,0,2,3
"k13",1.280198062,-1.221013837,-0.977210058,-0.79218595,0.227287668,0.033075504,0.189870102,-0.444166112,-0.476951048,-0.954632993,0.494958728,-0.537315326,-0.744789941,0.74479976,0.578493122,1.288713943,0.616754102,-0.540671535,-0.538360183,0.913058278,-0.58794752,-0.688479278,0,0,1,0,1,0,0,2,3
"k23",1.281790697,-1.221013837,-0.977210058,-0.827155686,0.229005842,-0.087930665,0.297219652,-1.164431281,-0.705020835,-0.8535279,0.056326482,-0.419007364,-0.856424605,0.856435049,0.822242261,1.754041322,0.86545287,-0.448107895,-0.429064682,1.151826125,-0.487192501,-0.426480664,1,0,0,0,1,0,0,2,1
"k33",1.282357772,-1.221013837,-0.977210058,-0.702430293,0.222289344,-0.816674574,-0.557348968,-1.112579463,-1.231630376,-1.474864686,0.078780297,0.527456329,-0.771343818,0.771353785,0.673008094,0.436766975,0.682841887,0.48939563,0.515560716,0.598228652,0.471419542,1.533417092,0,1,0,0,1,0,0,2,2
"k43",1.279570661,-1.221013837,0.065147337,-0.781695029,0.217816412,-0.972889121,-0.840374464,-0.80950634,-1.27394546,-1.686266257,0.276149758,0.645764291,-0.837999466,0.838009807,0.830533049,0.652997169,0.83414813,0.631801229,0.641889281,0.735801262,0.612836409,0.574298492,0,0,1,0,1,0,0,2,3
"o13",-0.517223316,-1.221013837,-0.065147337,-0.387702667,-0.693312763,-0.638605826,-0.328682976,-1.183302342,-1.290675972,-0.954633007,-0.633139443,-0.892239211,-0.703604337,0.703613925,0.507192353,1.619978601,0.554144623,-0.872951265,-0.886118594,1.01954477,-0.907844707,-0.919926817,1,0,0,0,1,0,0,2,1
"o23",-0.515546223,-1.221013837,-0.977210058,-0.479789639,-0.70076055,-1.072247295,-1.158281817,-0.213502382,-1.198989608,-0.504255752,-1.051491624,-0.300699403,-0.990440393,0.990289013,1.059358771,2.256560295,1.098499267,-0.27484775,-0.292800162,1.378027244,-0.346855152,-0.586642361,1,0,0,0,1,0,0,2,1
"o33",-0.526127593,-0.217213898,-0.586326035,-0.555557401,-0.580474175,-0.921935495,-0.660032653,-1.165773454,-0.73997435,0.028843867,-1.060788257,-0.537315326,-0.510140381,0.510148885,0.296606362,0.66510606,0.329793986,-0.559658948,-0.544037871,0.569126754,-0.596223825,-0.792167775,0,0,1,0,1,0,0,2,3
"o43",-0.530350489,-0.236394789,-0.977210058,-0.578870558,-0.604358213,-0.995167437,-0.876185858,-0.779595027,-0.927014523,-0.219323201,-1.019529372,-0.182391441,-0.424517678,0.424525702,0.139081407,0.042363099,0.150661308,-0.094467325,-0.154406509,0.230486483,-0.199680856,-0.073754616,0,0,1,0,1,0,0,2,3
"ws3",0.583468488,-1.221013837,-0.977210058,-0.745559634,-0.269001902,-1.285142595,-1.118315891,-1.045286078,-1.381456435,-0.923735845,-0.796412018,0.764072252,-0.926765281,0.926884504,1.153873744,1.268820765,1.152412986,0.750472561,0.759701314,1.056583549,0.742018738,0.422468907,0,1,0,0,1,0,0,2,2
"wb3",0.59017686,-1.221013837,3.061924849,-0.649975689,-0.157015301,0.224864073,0.288983674,-0.089968432,-0.058124625,0.134898174,-0.243958161,0.172532444,-0.815239001,0.815249215,0.734359919,0.862307998,0.754147128,0.166609606,0.170641149,0.791359431,0.114458902,0.769640215,0,0,1,0,1,0,0,2,3
"wp3",0.590900785,-1.221013837,-0.195442012,-0.77003845,-0.351318052,-1.175183508,-1.09509282,-0.743949612,-1.294419824,-0.923735845,-0.675749816,0.764072252,-0.944485929,0.944225908,1.235123457,1.467752544,1.237631445,0.672149482,0.734151717,1.146534871,0.697398658,0.206759801,0,0,0,1,1,0,0,2,4
"wk3",0.613125283,-1.221013837,-0.977210058,-0.737400029,-0.181091035,0.599995462,1.099321591,-1.199923252,0.03315292,0.749588889,-0.86188028,1.000688176,-0.978843394,0.978908716,1.291500809,1.389909674,1.298501773,0.866770466,0.957000984,1.131322515,0.933093435,0.664100137,1,0,0,0,1,0,0,2,1
